Unique Id,Company Name,City,State,Type,Status,Abbreviation
PNEU-DRA,PNEU-DRAULICS,Nicholasville,Kentucky,vendor,Active,
PMW,PRECISION METAL WORKS,Louisville,Kentucky,Client Vendor,Active,
PRE1,Precision Metal Works,Louisville,Kentucky,Client Vendor,Active,PMW
PZ,"PRECISION ZONE, INC.",Wheeling,Illinois,vendor,Active,
PRI1,PRINTED SOLID,Newark,Delaware,vendor,Active,
PRUSA,PRUSA RESEARCH,,Washington,vendor,Active,
QBO,QUALITY BEARINGS ONLINE LTD,West Yorkshire,,vendor,Active,
RADWELL,RADWELL,Franklin,Indiana,vendor,Active,
RAS,"RAS MACHINE TOOL TECHNOLOGIES, INC.",Belchertown,Massachusetts,vendor,Active,
RPC,RAYS PRECISION CALIBRATION,Stamping Ground,Kentucky,vendor,Active,
REID,REID SUPPLY CO.,Norton Shores,Michigan,vendor,Active,
REN,RENISHAW INC.,West Dundee,Illinois,vendor,Active,
RESCO,RICHMOND ELECTRICAL SUPPLY CO.,Richmond,Kentucky,vendor,Active,
ROCKET,ROCKET SUPPLY,Cincinnati,Ohio,vendor,Active,
RSO1,RS-ONLINE,,,vendor,Active,
RULAND,RULAND,Marlborough,Massachusetts,vendor,Active,
SAF-KL,SAFETY-KLEEN SYSTEMS,Lexington,Kentucky,vendor,Active,
SAWBLADE.COM,SAWBLADE.COM,Houston,Texas,vendor,Active,
SHARS,SHARS TOOL COMPANY,St. Charles,Illinois,vendor,Active,
SHELT,SHELTON MACHINERY,Fishers,Indiana,vendor,Active,
SHER-WILL,SHERWIN-WILLIAMS,Danville,Kentucky,vendor,Active,
SIM-BRE,SIMPLY BREAKERS,Niagara Falls,New York,vendor,Active,
SST,SINGLE SOURCE TECHNOLOGIES,Fairfield,Ohio,vendor,Active,
SKI-OIL-SK,SKIMPY OIL SKIMMERS,Union Bridge,Maryland,vendor,Active,
SNAP,SNAP ON,Kenosha,Wisconsin,Client Vendor,Active,Snap-On
SODICK,SODICK INC.,Chicago,Illinois,vendor,Active,
SOMS,SOMERSET STEEL,Somerset,Kentucky,vendor,Active,
SOPH,SOPH INC.,Fenton,Michigan,vendor,Active,
SKIE,SOUTHERN KENTUCKY INDUSTRIAL EQUIPMENT,Somerset,Kentucky,vendor,Active,
STS,SOUTHERN TOOL STEEL,Hixson,Tennessee,vendor,Active,
